Source Name	Characteristics[organism]	Characteristics[growth condition]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Assay Name	Technology Type	Array Design REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[growth condition]
Gluconate 2	Escherichia coli K-12	Gluconate	cell	P-MTAB-43790	P-MTAB-43791	Gluconate 2	P-MTAB-43792	Gluconate 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_1_3	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Gluconate
Gluconate 3	Escherichia coli K-12	Gluconate	cell	P-MTAB-43790	P-MTAB-43791	Gluconate 3	P-MTAB-43792	Gluconate 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_1_4	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Gluconate
Glucose 1	Escherichia coli K-12	Glucose	cell	P-MTAB-43790	P-MTAB-43791	Glucose 1	P-MTAB-43792	Glucose 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_1_4	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Glucose
Glucose 2	Escherichia coli K-12	Glucose	cell	P-MTAB-43790	P-MTAB-43791	Glucose 2	P-MTAB-43792	Glucose 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_2_1	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_2_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Glucose
Glucose 3	Escherichia coli K-12	Glucose	cell	P-MTAB-43790	P-MTAB-43791	Glucose 3	P-MTAB-43792	Glucose 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_2_2	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_2_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Glucose
Glycerol 1	Escherichia coli K-12	Glycerol	cell	P-MTAB-43790	P-MTAB-43791	Glycerol 1	P-MTAB-43792	Glycerol 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_2_3	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_2_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Glycerol
Glycerol 2	Escherichia coli K-12	Glycerol	cell	P-MTAB-43790	P-MTAB-43791	Glycerol 2	P-MTAB-43792	Glycerol 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_2_4	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_2_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Glycerol
Glycerol 3	Escherichia coli K-12	Glycerol	cell	P-MTAB-43790	P-MTAB-43791	Glycerol 3	P-MTAB-43792	Glycerol 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_1_1	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Glycerol
Pyruvate 1	Escherichia coli K-12	Pyruvate	cell	P-MTAB-43790	P-MTAB-43791	Pyruvate 1	P-MTAB-43792	Pyruvate 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_2_2	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_2_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Pyruvate
Pyruvate 2	Escherichia coli K-12	Pyruvate	cell	P-MTAB-43790	P-MTAB-43791	Pyruvate 2	P-MTAB-43792	Pyruvate 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_2_3	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_2_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Pyruvate
Pyruvate 3	Escherichia coli K-12	Pyruvate	cell	P-MTAB-43790	P-MTAB-43791	Pyruvate 3	P-MTAB-43792	Pyruvate 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_2_4	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_2_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Pyruvate
Succinate 1	Escherichia coli K-12	Succinate	cell	P-MTAB-43790	P-MTAB-43791	Succinate 1	P-MTAB-43792	Succinate 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_1_1	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Succinate
Succinate 2	Escherichia coli K-12	Succinate	cell	P-MTAB-43790	P-MTAB-43791	Succinate 2	P-MTAB-43792	Succinate 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_1_2	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Succinate
Succinate 3	Escherichia coli K-12	Succinate	cell	P-MTAB-43790	P-MTAB-43791	Succinate 3	P-MTAB-43792	Succinate 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710402_S01_GE1_1010_Sep10_1_3	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710402_S01_GE1_1010_Sep10_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Succinate
